,Date,Mean_Value,Sensor,Long,Lat,GS,R,STN,Vib (m/s),Humidity (%),CO,Temp (degree C),WS (m/s),SR (W/mt2),BP (mmHg),RF (mm)
0,1/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13012867505790945,0.5500325616228713,0.21400849858356943,29.201841359773372,2.157124645892351,141.30453257790367,716.9958640226629,0.00141643059490085
1,10/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.1289602013645496,0.5522599874847677,0.0560171919770774,29.118968481375358,2.0092550143266474,145.26825214899714,712.0298424068768,0.09830945558739256
2,11/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13088861012259545,0.5500327934015702,0.1062247838616715,29.53736311239193,2.061613832853026,146.82047550432276,715.7007636887608,0.0014265129682997117
3,12/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13048806601849036,0.5503104079828218,0.14270604395604397,29.314107142857143,2.0264423076923075,131.5556456043956,717.1932417582418,0.013502747252747254
4,2/2019,7.0,7.0,55.8600017,-4.2565153,0.6999999999999998,0.5,0.4000000000000001,0.1295409550687142,0.5500247016872847,0.12447140381282498,29.98987868284229,2.2373483535528598,159.47487001733103,716.6386308492201,0.0010745233968804159
5,3/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13011764088701366,0.5500278876954966,0.1133770491803279,29.90095081967213,2.2299180327868853,190.44316393442622,714.3060163934426,0.0012131147540983605
6,4/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.13031502044533372,0.5512140696569009,0.06930827067669176,29.036571428571428,2.463774436090225,210.5390977443609,711.0680601503759,0.05281203007518797
7,5/2019,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.12992386855126212,0.5512421413602592,0.1262569060773481,28.536988950276243,2.9287292817679558,213.31226519337017,709.3986049723757,0.054033149171270715
8,6/2019,7.0,7.0,55.8600017,-4.2565153,0.6999999999999998,0.5,0.4000000000000001,0.13066222199913516,0.5532327586206897,-0.012539062499999962,28.997460937499998,3.7618359375000003,187.8359375,708.0950390625,0.140625
9,8/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.12917128720235543,0.5504364906154519,-0.13935126582278476,29.690806962025317,3.2720886075949367,159.74606012658228,708.8275316455696,0.0189873417721519
10,9/2018,7.0,7.0,55.8600017,-4.2565153,0.7,0.5,0.4,0.1298445571943038,0.5518102204309101,-0.043881673881673834,30.313881673881674,2.60987012987013,171.65669552669553,711.70443001443,0.07874458874458874
0,1/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18977239847740723,0.5500641619488764,0.32519402985074625,29.093746268656716,1.8564477611940298,151.704223880597,717.9212537313433,0.002791044776119403
1,10/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.1887356587941404,0.5513320907114011,0.214527027027027,29.168391891891893,1.7734324324324324,155.81905405405405,712.4398378378378,0.05794594594594594
2,11/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19006393642020486,0.5500585488505748,0.36009375,29.5448125,1.746484375,148.063796875,715.8827968749999,0.0025468749999999997
3,12/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19082123768843848,0.5500491908111566,0.4216833095577746,29.507788873038514,1.7968901569186877,141.4516119828816,717.2302710413695,0.0021398002853067048
4,2/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18952033727625392,0.5500298953662183,0.34599402092675635,29.829895366218235,1.910493273542601,165.13526158445438,716.9768161434978,0.0013004484304932735
5,3/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18981977520379242,0.5500789789154503,0.24943251533742328,30.002208588957053,1.865659509202454,174.5314417177914,713.8996625766871,0.0034355828220858893
6,4/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18883353403681952,0.5510836332675414,0.224006734006734,28.841430976430978,2.228181818181818,205.1523569023569,710.8731818181818,0.04713804713804714
7,5/2020,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.18687248500200535,0.5509195402298851,0.24106666666666665,28.872,2.5938666666666665,254.41106666666667,709.1433333333333,0.04
8,6/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19063763843842643,0.5549523110785033,-0.0005851063829787462,28.92404255319149,3.1640425531914893,174.54409574468085,708.156914893617,0.2154255319148936
9,7/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.19024115391084723,0.5523068997714028,0.02829131652661062,28.665854341736697,3.4087114845938378,143.4431792717087,707.7149859943978,0.1003501400560224
10,8/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.1911159917063445,0.5520355135461035,0.04734348561759726,29.68690355329949,3.0851438240270728,169.59575296108292,709.360964467005,0.08854483925549916
11,9/2019,8.0,8.0,55.858949,-4.2484797,0.4,0.5,0.7,0.1916797583432285,0.5542703201970444,0.10065476190476187,30.455178571428572,2.306949404761905,161.15822916666667,711.4176488095238,0.1857589285714286
0,1/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.13017705043199487,0.4,-0.10959940652818992,29.535430267062313,2.491112759643917,112.42799703264095,723.0832195845697,0.0
1,10/2016,9.0,9.0,55.8567629,-4.2578129,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.13040045068662448,0.4000000000000001,0.6185178875638842,29.13262350936968,1.900068143100511,100.28042589437818,709.2158603066439,0.0
2,11/2016,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.12906068815724558,0.4,0.7941428571428572,30.307814285714286,2.5381285714285715,113.65092857142858,712.6574285714286,0.0
3,12/2016,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.12960188466386544,0.4,0.8622776911076443,30.234258970358816,2.4980499219968797,105.23780031201248,730.8584399375975,0.0
4,2/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.1310729517465133,0.4,-0.21927350427350428,29.502970085470086,2.5841666666666665,114.40547008547009,713.7437820512821,0.0
5,3/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.13030450261338447,0.4001822386839863,-0.21915279878971256,29.630922844175494,2.640166414523449,149.7373676248109,722.7105295007564,0.007927382753403933
6,4/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.13064313535572294,0.4007210205213533,-0.21903494176372712,29.73232945091514,2.8807154742096506,142.7604326123128,712.9367554076539,0.03136439267886855
7,5/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.12920800622545223,0.40049474408095104,-0.21914529914529915,28.477401709401708,3.3172136752136754,133.04131623931625,710.949282051282,0.02152136752136752
8,5/2020,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.13041416723525034,0.4012675905038135,0.24441121495327098,28.488037383177574,2.552990654205608,234.44985046728974,709.4390841121495,0.05514018691588785
9,6/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.13017248512304713,0.40903375167539907,-0.21934628975265016,29.28798586572438,4.72922261484099,119.87448763250883,710.6846113074205,0.39296819787985865
10,6/2020,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.130320307134947,0.40146523459581684,0.10024590163934419,29.046655737704917,3.277573770491803,183.2718524590164,708.1322459016393,0.06373770491803278
11,7/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.12958375573169625,0.40344789208067083,-0.21941569282136897,29.560283806343907,3.943772954924875,107.19285475792988,710.3774624373957,0.14998330550918196
12,7/2020,9.0,9.0,55.8567629,-4.2578129,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.13064797130631983,0.4000000000000001,0.1699999999999999,26.03,3.58,18.0,707.0,0.0
13,8/2017,9.0,9.0,55.8567629,-4.2578129,0.4,0.2,0.4,0.1309069653151431,0.40195084778052964,-0.21933701657458565,29.404861878453037,3.6422099447513814,75.33994475138122,713.6491160220995,0.08486187845303868
14,9/2016,9.0,9.0,55.85676289999999,-4.2578129,0.4,0.2,0.4,0.12985693741574575,0.40193218390804597,0.2808,30.0541,2.893625,98.44855,712.2876749999999,0.08405
0,1/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.1101846285964996,0.5,0.6041886269070734,29.589431345353677,2.6259500693481277,105.65643550624132,723.6647156726768,0.0
1,10/2017,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.11318236458717304,0.5,0.20944444444444443,29.699722222222224,1.7244444444444442,135.94916666666666,709.7891666666666,0.0
2,11/2017,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.10950527986286239,0.5,0.4054849498327759,30.29242474916388,2.7074581939799334,128.31229096989966,713.6385451505017,0.0
3,12/2017,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.11065073120727108,0.5,0.39653130287648053,30.238663282571913,2.680473773265651,112.15426395939087,735.0586802030457,0.0
4,2/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.10876467836427806,0.5,0.6841705426356589,29.504015503875966,2.9913023255813953,111.44626356589147,713.8249457364341,0.0
5,3/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.11010681823735506,0.5007395358924311,0.6760377358490566,29.501635220125788,2.7877987421383645,133.41336477987423,722.0479402515723,0.032169811320754714
6,4/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.11138501557587308,0.5002250492876539,0.5159708737864078,29.655873786407767,3.203640776699029,137.4390776699029,712.7208737864078,0.009789644012944984
7,5/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.10930720507394218,0.500677875938064,0.8864462809917355,28.652528925619833,3.538413223140496,134.33428099173554,711.3537190082644,0.029487603305785124
8,6/2018,10.0,10.0,55.8584965,-4.2570707,0.6,0.4,0.3,0.1088243328557529,0.5033155993431856,0.6407238095238095,29.7032,4.641047619047619,109.95175238095239,710.9806476190477,0.14422857142857143
